,name,community
0,0,~口区 汉口春天
1,1,~口区 金地悦江时代-1号楼
2,2,~口区 名仕阁小区
3,3,武昌区 付家坡二路8号3栋-1单元
4,4,东西湖区 恒大嘉园
5,5,~口区 ~口金利屋
6,6,江岸区 同福社区
7,7,洪山区 万科金色城市-2002栋
8,8,江夏区 世纪花园6楼
9,9,江岸区 融科天城
10,10,武昌区 环卫小区
11,11,汉阳区 车站前路58号楼
12,12,江岸区 宝岛公寓
13,13,江岸区 盛景花园-5栋
14,14,青山区 碧园小区
15,15,江岸区 美好名流世家
16,16,江汉区 泛海国际・松海园
17,17,汉阳区 新长江香榭琴台-5栋
18,18,江夏区 杨家湾还建楼
19,19,江岸区 袁家墩-125号楼
20,20,江岸区 外滩・棕榈泉-7栋
21,21,青山区 58街坊
22,22,武昌区 黄鹤世家
23,23,洪山区 红星社区
24,24,武昌区 中大长江紫都
25,25,~口区 营北社区-17栋
26,26,武昌区 西厂口社区
27,27,江岸区 石桥花园-3栋
28,28,洪山区 沙湖港湾-B区
29,29,武昌区 湖北省求实法律事务所住宅楼-1幢
30,30,青山区 新奥・依江畔园-10号楼
31,31,洪山区 武汉体育学院家属区24
32,32,武昌区 才华茗苑
33,33,洪山区 保利时代北区-3栋
34,34,武昌区 水陆小区
35,35,青山区 江南春城-17栋
36,36,江汉区 天门墩社区
37,37,青山区 碧苑花园-21栋
38,38,江岸区 百步亭花园现代城-二区
39,39,江汉区 福星华府
40,40,汉阳区 江腾苑-B区
41,41,武昌区 惠誉花园
42,42,洪山区 风度柏林
43,43,武昌区 紫领公寓
44,44,武昌区 常阳丽江城
45,45,江岸区 融科天城
46,46,江夏区 江郡华府-3幢
47,47,武昌区 万福林
48,48,~口区 既济春天园小区
49,49,~口区 天宇盛世滨江
50,50,青山区 钢都花园126街坊
51,51,江岸区 金色未来
52,52,江汉区 妙墩小区-AB栋
53,53,江岸区 金地・京汉1903-B座
54,54,汉阳区 江城明珠
55,55,汉阳区 枫华苑(马鹦路)
56,56,汉阳区 鲤鱼洲家园
57,57,江岸区 同福社区
58,58,江岸区 百步亭・世博园
59,59,武昌区 首义师苑
60,60,江夏区 江夏区关山桥小区
61,61,洪山区 融海杰座
62,62,武昌区 百瑞景中央生活区东二区西区-1栋
63,63,洪山区 城市花园
64,64,~口区 汉口春天
65,65,江岸区 富强天合熙园
66,66,蔡甸区 碧波山庄
67,67,青山区 大华・滨江天地铂金瑞府
68,68,江岸区 田园小区
69,69,汉阳区 汉桥金福世家
70,70,洪山区 加州阳光
71,71,洪山区 保利心语社区
72,72,洪山区 万科嘉园
73,73,武昌区 汉飞逛逛街-1号楼
74,74,洪山区 曙光星城
75,75,江岸区 悦秀苑
76,76,洪山区 百胜青城壹品
77,77,青山区 58街坊
78,78,江岸区 天悦外滩金融中心A栋
79,79,洪山区 金地雄楚-1号
80,80,~口区 时代天骄
81,81,武昌区 沈家湾花园小区
82,82,武昌区 中国铁建・1818中心-7-1栋
83,83,武昌区 万达御湖世家
84,84,~口区 中城・长青国际-3栋
85,85,汉阳区 华润中央公园-二期
86,86,青山区 八大家花园43街坊-20栋
87,87,江岸区 华清园
88,88,~口区 同馨花园-二期
89,89,洪山区 北辰光谷里
90,90,洪山区 红霞新村|-B36栋
91,91,not sure
92,92,汉阳区 江欣苑社区-120栋
93,93,汉阳区 王家湾商圈-1号楼
94,94,江岸区 蔡家田社区A区-36栋
95,95,武昌区 嘉景花园
96,96,蔡甸区 金凯公寓
97,97,~口区 幸乐村-10号楼
98,98,青山区 钢花新村115街坊
99,99,江岸区 黄孝河故道住宅工程第6栋
100,100,武昌区 武昌区粮道街道中医社区
101,101,洪山区 银海・东湖珞珈
102,102,汉阳区 广电兰亭盛荟-二期
103,103,江岸区 融科天城
104,104,东西湖区 沿海丽水佳园
105,105,~口区 百姓之春
106,106,青山区 江南春城-17栋
107,107,青山区 红钢城五街坊
108,108,武昌区 花园余家湖上段小区-2栋
109,109,洪山区 北港教师小区
110,110,江汉区 常青一院
111,111,江岸区 万锦江城-12栋
112,112,汉阳区 赛博思黄金口岸
113,113,武昌区 中南电力设计院二生活区-22栋
114,114,东西湖区 亿达华庭-1栋
115,115,~口区 武汉市汉正街华贸商城-1号楼
116,116,青山区 碧苑花园
117,117,洪山区 保利时代北区-3栋
118,118,江岸区 融科天城
119,119,洪山区 花山郡
120,120,新洲区 观湖天下
121,121,~口区 江山如画-六期
122,122,武昌区 华润置地橡树湾二期-B5栋
123,123,江岸区 黄合二村-27号楼
124,124,洪山区 鹿鸣苑
125,125,江岸区 华润・桃源里
126,126,~口区 地质村-29号楼
127,127,洪山区 幸福佳苑
128,128,青山区 21街坊
129,129,新洲区 吴陈湾-29号楼
130,130,洪山区 东方雅园-一期
131,131,武昌区 中泰花园
132,132,~口区 广电・江湾新城
133,133,汉阳区 江欣苑
134,134,~口区 天顺园-1017号楼
135,135,江汉区 顶L晶城
136,136,~口区 天宇盛世滨江
137,137,青山区 曾张王-6号楼
138,138,江夏区 现代・森林小镇
139,139,蔡甸区 文昌街178号-14栋
140,140,江岸区 融科天城
141,141,~口区 同馨花园-二期
142,142,汉阳区 汉阳华立苑
143,143,汉阳区 五墨里社区
144,144,~口区 天顺园六组团
145,145,~口区 香港映象
146,146,~口区 红燕四巷-13号楼
147,147,洪山区 东方雅园
148,148,汉阳区 桃花岛城市花园
149,149,汉阳区 汤家咀小区
150,150,青山区 航舵小区-19栋
151,151,汉阳区 鹦鹉花园
152,152,汉阳区 太子湖畔星苑小区
153,153,青山区 东兴天地-D区
154,154,江岸区 城开星园-9号楼
155,155,青山区 新奥・依江畔园-10号楼
156,156,汉阳区 五里汉城
157,157,汉阳区 观澜高尔夫公馆-10号楼
158,158,洪山区 鑫宇花园
159,159,汉阳区 龙江庭院-C区
160,160,武昌区 秦园居
161,161,江岸区 惠民居
162,162,洪山区 北港教师小区
163,163,武昌区 君临天下
164,164,~口区 3604小区1期-3号楼
165,165,武昌区 付家坡二路8号3栋-1单元
166,166,江岸区 惠济小区
167,167,洪山区 金银岛花园
168,168,东西湖区 华生汉口城市广场-四期
169,169,汉阳区 世纪龙城-2期
170,170,江岸区 温馨苑-AB区
171,171,洪山区 紫菘・枫林上城
172,172,江岸区 常阳・永清城-3栋
173,173,东西湖区 金湖听语
174,174,江岸区 地铁鑫城
175,175,青山区 红钢城五街坊
176,176,东西湖区 常安佳苑
177,177,洪山区 青青花园小区
178,178,~口区 丽景苑小区
179,179,江岸区 江岸君安花园-7号楼
180,180,武昌区 民主路二村-14号楼
181,181,江岸区 竹叶苑
182,182,武昌区 梅苑小区
183,183,江汉区 复兴新村小区
184,184,洪山区 天下龙岭广场
185,185,江夏区 杨家湾还建楼
186,186,武昌区 友谊国际1期6栋
187,187,洪山区 金鹤园小区-1号楼
188,188,武昌区 莲溪寺南村铁路小区
189,189,汉阳区 十里景秀-14栋
190,190,青山区 3街坊
191,191,江岸区 德润大厦
192,192,江岸区 锦湖金利花园-二期
193,193,洪山区 现代世贸中心-B栋
194,194,青山区 红钢城五街坊
195,195,洪山区 现代森林花园
196,196,江夏区 郑店同兴小区
197,197,江岸区 台北四村
198,198,武昌区 后补街-37号楼
199,199,江汉区 新华家园悦景居
200,200,武昌区 团结名居桂园
201,201,汉阳区 汉桥城中花园
202,202,武昌区 梅苑小区-212幢
203,203,~口区 银舵新都
204,204,江岸区 滨江苑三期-5栋
205,205,武昌区 友谊国际1期6栋
206,206,洪山区 华腾园
207,207,~口区 天顺园六组团
208,208,江岸区 海赋江城天韵
209,209,江汉区 复兴新村小区
210,210,江汉区 任冬社区
211,211,青山区 钢都花园-124街坊
212,212,汉阳区 汉阳城
213,213,汉阳区 桥机嘉园
214,214,江岸区 银泰御华园
215,215,~口区 银舵新都
216,216,江岸区 盛景天地盛景公馆
217,217,~口区 弘西花园
218,218,~口区 汉口春天
219,219,江岸区 融科天城
220,220,江岸区 湖北省武汉市江岸区百步亭花园(百步华庭南区)
221,221,江岸区 东立国际
222,222,武昌区 涂家沟-63号楼
223,223,~口区 同馨花园-二期
224,224,洪山区 中建福地星城
225,225,武昌区 中泰花园
226,226,汉阳区 广电兰亭时代-7栋
227,227,江岸区 堤角小区
228,228,~口区 武汉航天城
229,229,武昌区 汇文新都
230,230,汉阳区 玫瑰园西村-103号楼
231,231,武昌区 丁字桥向阳佳苑-A区
232,232,洪山区 关山街道汽标社区
233,233,汉阳区 观澜高尔夫公馆-10号楼
234,234,洪山区 东方玉龙居
235,235,东西湖区 鑫桥新村-4号楼
236,236,江岸区 延昌里-10号楼
237,237,江岸区 百步亭・金桥汇-2期
238,238,东西湖区 将军新村二期-2栋
239,239,武昌区 水院小区
240,240,江岸区 丹水国际-1号楼
241,241,江岸区 锦湖金利花园-二期
242,242,~口区 电信小区
243,243,洪山区 葛洲坝世纪花园-二期
244,244,洪山区 鹏程蕙园
245,245,东西湖区 裕亚银湖城-南苑
246,246,江岸区 西马名仕-7号楼
247,247,武昌区 磨山小区
248,248,武昌区 银海花园南区-3栋
249,249,江岸区 堤角小区
250,250,武昌区 江南公寓南区-11栋
251,251,江岸区 天隆里-14号楼
252,252,汉阳区 江汉二桥街道知音西苑社区
253,253,汉阳区 润帝嘉园
254,254,汉阳区 复地翠微新城
255,255,~口区 天宇盛世滨江
256,256,武昌区 719所-22栋
257,257,~口区 紫润明园北区-44栋
258,258,青山区 107街坊
259,259,江夏区 乔亚国际广场
260,260,汉阳区 龙江庭院-7栋楼
261,261,~口区 学堂社区
262,262,汉阳区 五墨里社区
263,263,东西湖区 走马岭汉江湖畔小区
264,264,武昌区 丁字桥向阳佳苑-A区
265,265,洪山区 东亭新嘉源
266,266,武昌区 胭脂山庄
267,267,江岸区 三眼桥三村-659号楼
268,268,~口区 时代天骄
269,269,~口区 汇丰企业总部-4号楼
270,270,武昌区 首义新村-226号楼
271,271,汉阳区 玫瑰园西村-132号楼
272,272,江汉区 顶L国际城一期(A区)
273,273,汉阳区 琴断岭-2号楼
274,274,洪山区 沙湖港湾
275,275,洪山区 紫菘・枫林上城
276,276,洪山区 保利蓝海郡
277,277,江汉区 常文里-17号楼
278,278,江岸区 怡美广场
279,279,~口区 飞帆小区-3号楼
280,280,洪山区 红旗欣居-A区
281,281,江岸区 港台公寓
282,282,~口区 保利・香槟国际-9栋
283,283,江岸区 融科天城
284,284,江岸区 声直大厦-A座
285,285,江岸区 长江委协昌里小区
286,286,洪山区 湘龙鑫城-15栋
287,287,武昌区 橡树湾
288,288,汉阳区 建桥新村-144号楼
289,289,洪山区 和盛世家(梨园侧路)
290,290,东西湖区 企业总部-3栋
291,291,青山区 青山绿水花园
292,292,洪山区 保利公园九里
293,293,~口区 汉水三村小区
294,294,汉阳区 五园里社区
295,295,洪山区 东湖景园-A区
296,296,洪山区 和盛世家(梨园侧路)
297,297,江汉区 双龙小区
298,298,黄陂区 中央名都
299,299,江岸区 青青美庐
300,300,青山区 58街坊
301,301,东西湖区 散放墩-31号楼
302,302,江汉区 常青(二院)
303,303,~口区 宗关街道发展社区
304,304,江汉区 新华家园悦景居
305,305,~口区 宝康苑-2栋
306,306,汉阳区 新城春天里
307,307,汉阳区 王家湾中央生活区
308,308,洪山区 金梭花园
309,309,江汉区 新华家园悦景居
310,310,武昌区 四清里社区
311,311,武昌区 东湖春树里-2栋
312,312,汉南区 兴业佳园
313,313,洪山区 风度柏林-三期
314,314,洪山区 金地雄楚-1号
315,315,江汉区 福星华府
316,316,~口区 丰竹园-3栋
317,317,江岸区 悦秀苑
318,318,青山区 钢花村街118社区
319,319,武昌区 首义新村-226号楼
320,320,汉阳区 新城丽景-A区
321,321,~口区 华鼎・丽都国际-3栋
322,322,东西湖区 武汉恒大城-1期
323,323,青山区 钢都花园-123街坊
324,324,江岸区 悦秀苑
325,325,武昌区 福星惠誉国际城-8号楼
326,326,青山区 大华・滨江天地铂金瑞府
327,327,汉阳区 麒麟小区
328,328,江岸区 百步亭现代城-四区
329,329,东西湖区 开屏里社区
330,330,武昌区 水陆小区
331,331,新洲区 蔡阮家湾-1号楼
332,332,~口区 古雅社区
333,333,~口区 全新社区-E栋楼
334,334,洪山区 华中师范大学西区学生宿舍-2号
335,335,洪山区 毛坦港湾
336,336,洪山区 保利浅水湾
337,337,青山区 新奥・依江畔园-10号楼
338,338,汉阳区 汉阳区钰龙湾小区11栋
339,339,青山区 新奥・依江畔园-10号楼
340,340,江岸区 江大路工科院小区
341,341,东西湖区 将军新村四期-1栋
342,342,~口区 桂苑西村
343,343,东西湖区 鑫桥新村-4号楼
344,344,武昌区 阳光年华-1栋
345,345,青山区 碧苑花园
346,346,洪山区 阳光社区
347,347,东西湖区 博大学府花园
348,348,武昌区 黄鹤小区-17号楼
349,349,洪山区 保利城
350,350,~口区 崇仁新都
351,351,洪山区 保利才盛景苑
352,352,江岸区 航天双城-7栋
353,353,江岸区 同安家园
354,354,~口区 尚义社区
355,355,武昌区 九龙井小区临-7号楼
356,356,汉阳区 十里和府
357,357,~口区 长寿社区
358,358,江岸区 开源阳光城
359,359,汉阳区 鲤鱼洲家园
360,360,~口区 汉口春天
361,361,汉阳区 钰龙湾汇园
362,362,青山区 19街坊
363,363,青山区 白玉山1街坊
364,364,~口区 团结佳兴园
365,365,汉阳区 汉桥城中花园-C区
366,366,汉阳区 SOHO公寓
367,367,江岸区 盛世东方-22栋
368,368,~口区 古田社区
369,369,汉阳区 玫瑰园西村-132号楼
370,370,~口区 汉水三村小区
371,371,武昌区 九坤秦南都汇-B栋
372,372,江岸区 金桥汇-a栋
373,373,江岸区 光明上海公馆
374,374,江汉区 汉来广场
375,375,武昌区 水岸国际・SOHO公寓
376,376,洪山区 武丰佳园-9栋
377,377,汉阳区 鹦鹉花园
378,378,~口区 既济电力商城-A栋
379,379,江岸区 融科天城
380,380,武昌区 名邸公馆
381,381,江岸区 统建大江园-北苑
382,382,江汉区 恒大御园
383,383,江岸区 汉口花园小区
384,384,~口区 圣锦苑
385,385,武昌区 水陆小区
386,386,洪山区 北港教师小区
387,387,汉阳区 江城明珠
388,388,~口区 武胜人信汇
389,389,汉阳区 阳光城十里新城
390,390,江岸区 宝岛社区
391,391,洪山区 元宝山
392,392,汉阳区 锦绣雅苑
393,393,江岸区 星悦城三期-5栋
394,394,江汉区 思联・花园城-2栋
395,395,江汉区 福星惠誉・福星城-北区
396,396,汉阳区 御水华城
397,397,~口区 中民・长青里
398,398,青山区 58街坊
399,399,江汉区 青年广场-B座
400,400,江岸区 美好名流世家
401,401,江岸区 银泰御华园
402,402,江岸区 同福社区
403,403,~口区 中民长青国际
404,404,武昌区 楚天都市花园-D座
405,405,洪山区 广八路社区
406,406,江岸区 长江委协昌里小区
407,407,武昌区 百瑞景中央生活区一期-7号楼
408,408,汉阳区 枫华苑(马鹦路)
409,409,江岸区 滨江苑-二期
410,410,武昌区 杨园街变电社区-24幢
411,411,江汉区 天润・北湖假日花园-5栋
412,412,~口区 云鹤园
413,413,汉阳区 江腾苑-B区
414,414,江岸区 中森华国际城
415,415,青山区 红钢城五街坊
416,416,武昌区 友谊国际1期6栋
417,417,新洲区 蔡七房田湾-13号楼
418,418,武昌区 北环路小区-3栋
419,419,汉阳区 洲头二村-127号楼
420,420,江岸区 融科天城
421,421,洪山区 保利花园
422,422,~口区 盛世长丰
423,423,武昌区 香格里嘉园-C栋
424,424,洪山区 楚天都市沁园
425,425,江岸区 泰兴里-7号楼
426,426,汉阳区 观澜高尔夫公馆-10号楼
427,427,~口区 武汉航天城
428,428,江岸区 悦秀苑
429,429,~口区 丽水康城-11栋
430,430,青山区 青馨居
431,431,江岸区 武汉武汉江岸区
432,432,洪山区 南湖社区
433,433,江岸区 武汉武汉江岸区
434,434,~口区 居仁门
435,435,汉南区 湘隆小区
436,436,江岸区 武汉市消防支队经适房小区消防人家
437,437,~口区 广电兰亭荣荟
438,438,~口区 时代天骄
439,439,~口区 中御公馆-3号楼
440,440,武昌区 粮道街192号-A栋
441,441,~口区 丰华园
442,442,武昌区 九龙井小区
443,443,江夏区 豹驶菇ㄐ∏6期
444,444,~口区 广电・江湾新城
445,445,汉阳区 广电兰亭盛荟
446,446,汉阳区 邵牛湾-126号楼
447,447,蔡甸区 万家湖社区(A区)
448,448,江夏区 铁张湾-1号楼
449,449,not sure
450,450,江岸区 金色未来
451,451,~口区 美好香域花境住户满意中心
452,452,青山区 58街坊
453,453,江岸区 黄浦社区(武汉大道)
454,454,武昌区 九龙井小区临-7号楼
455,455,东西湖区 龙竹苑-22号
456,456,武昌区 东龙世纪花园-百花居
457,457,江岸区 后九万方-二村
458,458,武昌区 阳光小区
459,459,江汉区 世纪江尚-1号楼
460,460,洪山区 三金雄楚天地
461,461,武昌区 城市花园
462,462,洪山区 关西小区
463,463,江岸区 新荣苑
464,464,武昌区 水陆小区
465,465,not sure
466,466,~口区 同济第二门诊部10号楼
467,467,江岸区 城开天兴花园
468,468,洪山区 大华南湖公园世家-一期
469,469,黄陂区 香域华府-7栋
470,470,洪山区 保利・心语物业服务中心-9期
471,471,江岸区 融科天城
472,472,洪山区 玲珑汇小区
473,473,青山区 新奥・依江畔园-10号楼
474,474,洪山区 沙湖港湾-B区
475,475,东西湖区 亿达华庭-1栋
476,476,汉阳区 名流公馆-NK4区
477,477,武昌区 水岸国际・SOHO公寓
478,478,东西湖区 走马岭汉江湖畔小区
479,479,汉阳区 江城明珠
480,480,洪山区 左岭新城二社区-2栋
481,481,洪山区 金鹤园
482,482,~口区 常码头社区
483,483,~口区 汉水三村小区
484,484,武昌区 昙华林艺术村-9号楼
485,485,武昌区 张家湾小区-54栋
486,486,汉阳区 鹦鹉花园
487,487,洪山区 保利花园
488,488,江夏区 桃花源
489,489,江岸区 泰兴里-7号楼
490,490,江汉区 雅典居-B座号楼
491,491,洪山区 玲珑汇小区
492,492,青山区 青教花园
493,493,江岸区 盛世东方-16栋
494,494,江岸区 长江新城平安苑小区
495,495,江岸区 航天双城-7栋
496,496,江岸区 罗家庄社区
497,497,青山区 武汉恒大御府
498,498,江汉区 穗丰花园-四期
499,499,~口区 同馨花园-二期
500,500,洪山区 蓝晶绿洲
501,501,~口区 同馨花园-二期
502,502,黄陂区 晓钟里-19号楼
503,503,~口区 汉口春天
504,504,青山区 临江港湾-4栋
505,505,青山区 白玉山泰乐物业小区-11栋
506,506,武昌区 团结新村-北区
507,507,武昌区 统建锦绣江南-25号楼
508,508,汉阳区 恒大城一期-23栋
509,509,江岸区 中央华城
510,510,江岸区 融科天城
511,511,洪山区 阳光社区
512,512,蔡甸区 摩天逸品
